theta C_p
0.9994897643 1.24031
0.9995940265 1.24031
2.999903564 1.23383
2.999995111 1.23382
5.000304986 1.22094
5.000407726 1.22094
6.999487277 1.2018
6.999603605 1.2018
8.99990222 1.17631
9.000004082 1.17629
11.00030629 1.14478
11.00040753 1.14478
12.9994438 1.10758
12.99955546 1.10758
14.99990993 1.06451
15.00002061 1.0645
17.00032409 1.01614
17.00046718 1.01614
18.99945705 0.962989
18.99960271 0.962987
20.99997039 0.904761
20.99997039 0.904775
23.00027603 0.842298
23.00038152 0.842295
24.99942055 0.776189
24.99957283 0.776186
26.99988408 0.706096
27.0000382 0.706095
29.00036712 0.63303
29.00036712 0.633033
30.99950396 0.557669
30.9996612 0.557666
32.99984317 0.479604
33.00000168 0.479624
35.00032831 0.400024
35.00042217 0.40002
36.99954637 0.319574
36.99954637 0.319571
38.99990908 0.237825
38.99999814 0.237822
41.00027435 0.156076
41.00043602 0.156072
42.99949304 0.0748937
42.99957119 0.0748898
44.99983794 -0.00616715
45.0 -0.0061709
45.00016206 -0.00609144
47.00042881 -0.0857667
47.00050696 -0.0857704
48.99956398 -0.163456
48.99972565 -0.16346
51.00000186 -0.239574
51.00009092 -0.239577
53.00045363 -0.313158
53.00045363 -0.313155
54.99957783 -0.38357
54.99967169 -0.383573
56.99999832 -0.45124
57.00015683 -0.451243
59.0003388 -0.515393
59.00049604 -0.515396
60.99963288 -0.575491
60.99963288 -0.575488
62.9999618 -0.631959
63.00011592 -0.631962
65.00042717 -0.684257
65.00057945 -0.68426
66.99961848 -0.731965
66.99972397 -0.731967
69.00002961 -0.775525
69.00002961 -0.775527
71.00039729 -0.814627
71.00054295 -0.814628
72.99953282 -0.848994
72.99967591 -0.848995
74.99997939 -0.87908
75.00009007 -0.879081
77.00044454 -0.904786
77.0005562 -0.904787
78.99959247 -0.925997
78.99969371 -0.925998
80.99999592 -0.943158
81.00009778 -0.943159
83.00039639 -0.956346
83.00051272 -0.956346
84.99959227 -0.965601
84.99969501 -0.965601
87.00000489 -0.971435
87.00009644 -0.971339
89.00040597 -0.973751
89.00051024 -0.973751
90.99959403 -0.973026
90.99969714 -0.973026
92.99999511 -0.969568
93.0000981 -0.969514
95.00040773 -0.963461
95.00051047 -0.963461
96.99960361 -0.95518
96.99970597 -0.95518
99.00000408 -0.944922
99.00009463 -0.944921
101.0004075 -0.932932
101.0004975 -0.932932
102.9995555 -0.919621
102.9996671 -0.919621
105.0000206 -0.905109
105.0001313 -0.905108
107.0004672 -0.889608
107.0004672 -0.889609
108.9996027 -0.873591
108.9997111 -0.873591
110.9999704 -0.857034
111.0000774 -0.857033
113.0003815 -0.840098
113.000487 -0.840097
114.9995728 -0.823282
114.9996767 -0.823281
117.0000382 -0.806424
117.0000382 -0.806424
119.0003671 -0.789629
119.0004673 -0.789628
120.9996612 -0.773391
120.9996612 -0.773392
123.0000017 -0.757434
123.0000978 -0.757433
125.0004222 -0.741802
125.0004879 -0.741801
126.9995464 -0.726968
126.9997068 -0.726967
128.9999981 -0.712562
129.0000703 -0.712561
131.000436 -0.698585
131.0005225 -0.698585
132.9995712 -0.685471
132.9997331 -0.68547
135.0 -0.672654
137.0002669 -0.660528
137.0004288 -0.660528
138.9994775 -0.649063
138.999564 -0.649062
140.9999297 -0.637828
141.0000019 -0.637827
143.0002932 -0.627197
143.0004536 -0.627196
144.9995121 -0.617115
144.9995778 -0.617115
146.9999022 -0.607198
146.9999983 -0.607311
149.0003388 -0.597797
149.0003388 -0.597797
150.9995327 -0.588864
150.9996329 -0.588863
152.9999618 -0.580184
152.9999618 -0.580092
155.0003233 -0.571809
155.0004272 -0.571809
156.999513 -0.563991
156.9996185 -0.56399
158.9999226 -0.556427
159.0000296 -0.556495
161.0002889 -0.549406
161.0003973 -0.549405
162.9995328 -0.542934
162.9995328 -0.542934
164.9998687 -0.536887
164.9999794 -0.536933
167.0003329 -0.531501
167.0004445 -0.531501
168.9994912 -0.526797
168.9995925 -0.526797
170.9999054 -0.522715
170.9999959 -0.522742
173.000294 -0.519422
173.0003964 -0.519422
174.9994895 -0.51693
174.9995923 -0.516929
176.9999019 -0.515219
177.0000049 -0.515219
179.0003029 -0.514373
179.000406 -0.514373
