theta vorticity
0.9995788395 -0.378385
0.9995937341 -0.378389
2.999989665 -1.13285
3.000001109 -1.13282
5.000394883 -1.88387
5.000406298 -1.88388
6.999569484 -2.62725
6.999592232 -2.62726
8.999999372 -3.35836
8.999999372 -3.35842
11.00039565 -4.07936
11.0004069 -4.07936
12.99958123 -4.78302
12.99958123 -4.78301
14.99993958 -5.46504
15.00005027 -5.46493
17.0003911 -6.13026
17.0003911 -6.13026
18.99960271 -6.7693
18.99960271 -6.7693
21.00001146 -7.37801
21.00001146 -7.37818
23.00042629 -7.96406
23.00042629 -7.96406
24.99957283 -8.51597
24.99962126 -8.51598
26.99998812 -9.03023
26.99998812 -9.03047
29.00042268 -9.51639
29.00042268 -9.51639
30.99956298 -9.96204
30.99956298 -9.96204
32.99996799 -10.3646
33.00006409 -10.3643
35.00039403 -10.7339
35.00039403 -10.734
36.99961533 -11.0585
36.99961533 -11.0585
38.9999812 -11.3363
38.9999812 -11.3363
41.00034953 -11.5773
41.00034953 -11.5773
42.99964934 -11.7712
42.99964934 -11.7712
44.99991897 -11.9167
45.0 -11.9167
45.00008103 -11.9163
47.00035066 -12.0236
47.00035066 -12.0236
48.99965047 -12.0832
48.99965047 -12.0832
51.0000188 -12.0948
51.0000188 -12.0948
53.00038467 -12.0686
53.00038467 -12.0686
54.99960597 -11.9968
54.99960597 -11.9968
56.99993591 -11.8804
57.00003201 -11.8804
59.00043702 -11.7282
59.00043702 -11.7282
60.99957732 -11.535
60.99957732 -11.535
63.00001188 -11.3028
63.00001188 -11.3028
65.00037874 -11.0388
65.00042717 -11.0388
66.99957371 -10.7408
66.99957371 -10.7408
68.99998854 -10.4112
68.99998854 -10.4112
71.00039729 -10.0561
71.00039729 -10.0561
72.9996089 -9.67549
72.9996089 -9.67549
74.99994973 -9.27246
75.00006042 -9.27246
77.00041877 -8.8517
77.00041877 -8.8517
78.9995931 -8.41511
78.99960435 -8.41511
81.00000063 -7.96607
81.00000063 -7.96607
83.00040777 -7.50802
83.00043052 -7.50802
84.9995937 -7.04416
84.99960512 -7.04416
86.99999889 -6.5779
87.00001033 -6.5778
89.00040627 -6.11123
89.00042116 -6.11123
90.99959373 -5.64829
90.99960863 -5.64829
93.00000111 -5.19194
93.00001255 -5.19188
95.0004063 -4.74321
95.00041771 -4.74321
96.99959223 -4.30615
96.99960361 -4.30615
98.99999937 -3.88295
99.00001069 -3.88294
101.0004069 -3.47375
101.0004181 -3.47374
102.9995812 -3.08204
102.9995812 -3.08204
105.0000503 -2.70921
105.0000503 -2.70921
107.0003911 -2.35447
107.0003911 -2.35447
108.9996027 -2.02063
108.99964 -2.02062
111.0000115 -1.70817
111.0000115 -1.70818
113.0004263 -1.41552
113.0004263 -1.41552
114.9996213 -1.1447
114.9996213 -1.1447
116.9999881 -0.895426
116.9999881 -0.895427
119.0004227 -0.665488
119.0004227 -0.665489
120.999563 -0.456236
120.999622 -0.456235
123.0000641 -0.266784
123.0000641 -0.266785
125.000394 -0.0946051
125.000394 -0.0946038
126.9996153 0.0594617
126.9996153 0.0594607
128.9999812 0.196576
128.9999812 0.196575
131.0003495 0.319262
131.0004247 0.319263
132.9996493 0.426896
132.9996493 0.426895
135.0 0.520578
137.0003507 0.602527
137.0003507 0.602527
138.9995753 0.672039
138.9996505 0.67204
141.0000188 0.729903
141.0000188 0.729903
143.0003847 0.777848
143.0003847 0.777847
144.999606 0.81494
144.999606 0.814939
146.9999359 0.841573
146.9999359 0.841577
149.000378 0.859043
149.000437 0.859043
150.9995773 0.866221
150.9995773 0.866221
153.0000119 0.86326
153.0000119 0.863265
155.0003787 0.851233
155.0003787 0.851233
156.9995737 0.829054
156.9995737 0.829054
158.9999885 0.796934
158.9999885 0.796927
161.00036 0.755962
161.0003973 0.755961
162.9996089 0.705428
162.9996089 0.705429
164.9999497 0.645864
164.9999497 0.645871
167.0004188 0.578576
167.0004188 0.578577
168.9995819 0.503445
168.9995931 0.503444
170.9999893 0.421478
171.0000006 0.42147
173.0003964 0.334142
173.0004078 0.334142
174.9995823 0.242026
174.9995937 0.242026
176.9999874 0.146531
176.9999989 0.14653
179.0003914 0.049102
179.0004063 0.0491014
