theta C_p
0.4282730679757094 1.20417
0.42837963494065434 1.20417
1.2851355209405426 1.20299
1.2852386272390675 1.20299
2.1422664044975193 1.20064
2.14238519938462 1.20064
2.99990356391865 1.19711
2.9999951113133534 1.19711
3.8575154954945674 1.19239
3.8576183940711815 1.19239
4.714657504490646 1.18651
4.714760287753222 1.18651
5.5715310297972565 1.17948
5.571622269739237 1.17948
6.428270934676277 1.17129
6.428384805611586 1.17129
7.285123655447762 1.16196
7.285225955012805 1.16196
8.142261455018058 1.15151
8.142374891108943 1.15151
8.999913537722335 1.13993
9.00000408218827 1.13992
9.85752375533329 1.12722
9.857625364958295 1.12722
10.714640606644252 1.11344
10.714774504782952 1.11344
11.571543726699218 1.09859
11.571678975059712 1.09859
12.428292913071886 1.08268
12.428404819042953 1.08268
13.285157688713241 1.06574
13.285269213391985 1.06573
14.142327393205647 1.04777
14.142327393205647 1.04777
14.999909926082637 1.02879
15.00002061281586 1.02879
15.857486102401452 1.00882
15.857596332849084 1.00882
16.714665329073682 0.98792
16.714775078826676 0.987918
17.571497296253 0.966089
17.57160654089671 0.966087
18.428281222299915 0.943354
18.42838993732687 0.943351
19.285135843824293 0.919743
19.28524400504429 0.91974
20.14232471888181 0.89528
20.14232471888181 0.895277
20.99997039018956 0.869975
20.99997039018956 0.86997
21.857501170196997 0.843865
21.857607523840983 0.843862
22.71459672007302 0.817014
22.714746672181633 0.817011
23.571492362693647 0.789432
23.571643217103457 0.78943
24.428230898270016 0.76115
24.428382621105243 0.761146
25.285107966678538 0.7322
25.285260524047203 0.732197
26.142260937775347 0.702614
26.142363806718777 0.70261
26.99988407626543 0.672402
27.00003820116231 0.672399
27.857553586658838 0.641614
27.857553586658838 0.64161
28.714589016479295 0.610319
28.71474457090474 0.610315
29.571492858789384 0.57853
29.571592523457156 0.578526
30.428244653050882 0.546279
30.428401496920742 0.546275
31.28509205343491 0.513606
31.28524948945028 0.513602
32.14222753005609 0.480545
32.14238552322573 0.480541
32.99984316648599 0.447107
33.000001681724086 0.447103
33.85746307686617 0.413348
33.857622078671994 0.413344
34.71461279034844 0.379344
34.71477224298138 0.37934
35.571513049677634 0.345104
35.57167291705878 0.345101
36.4283270873747 0.310665
36.4283270873747 0.310661
37.2851801503806 0.276067
37.2851801503806 0.276063
38.14226269170564 0.241346
38.142333465206775 0.241341
38.999909083207484 0.206511
38.999998137457965 0.206505
39.85752435571564 0.171625
39.85768576007558 0.171621
40.71463625173601 0.136761
40.71479785515365 0.136756
41.571512166305666 0.101926
41.57158820395105 0.101922
42.428270382886495 0.0671559
42.42843227630547 0.0671517
43.28510278328028 0.0324917
43.28526476743619 0.0324875
44.14228338346797 -0.00203233
44.142445421921536 -0.00203653
44.99983794334241 -0.0364084
45.0 -0.0364149
45.00016205665756 -0.0364187
45.857554578078464 -0.0705805
45.85771661653203 -0.0705846
46.71473523256378 -0.10447
46.71489721671972 -0.104475
47.5715677236945 -0.138078
47.57172961711353 -0.138082
48.42832606718625 -0.171373
48.428487833694334 -0.171377
49.28528900121148 -0.204316
49.28528900121148 -0.20432
50.14231423992442 -0.236877
50.14247564428433 -0.236881
51.00000186254201 -0.269052
51.000090916792516 -0.269058
51.857666534793196 -0.300785
51.85773730829433 -0.300789
52.71481984961942 -0.332015
52.71491102202776 -0.332019
53.5716729126253 -0.362747
53.5716729126253 -0.362744
54.42832708294121 -0.392945
54.42848695032235 -0.392948
55.28529301576671 -0.422586
55.28538720965156 -0.42259
56.14237792132798 -0.451643
56.14253692313383 -0.451647
56.99999831827593 -0.48012
57.000156833514026 -0.480123
57.85761447677427 -0.507961
57.85777246994391 -0.507964
58.714750510549734 -0.535124
58.71490794656508 -0.535127
59.571598503079244 -0.561616
59.571755346949104 -0.561619
60.42840747654283 -0.587418
60.42850714121063 -0.587421
61.28525542909527 -0.612506
61.285410983520705 -0.612509
62.14244641334115 -0.636866
62.14244641334115 -0.636863
62.999961798837674 -0.6605
63.00011592373457 -0.660502
63.85763619328122 -0.683371
63.85773906222464 -0.683374
64.71473947595278 -0.705449
64.71489203332145 -0.705452
65.57161737889476 -0.72675
65.57176910172997 -0.726752
66.42835678289653 -0.747261
66.42850763730634 -0.747263
67.28525332781837 -0.766969
67.28540327992698 -0.766971
68.14239247615899 -0.785866
68.14249882980297 -0.785868
69.00002960981041 -0.803971
69.00002960981041 -0.803969
69.85767528111819 -0.821249
69.85767528111819 -0.821247
70.71475599495571 -0.837686
70.7148641561757 -0.837688
71.57161006267313 -0.853309
71.57171877770007 -0.853311
72.42839345910328 -0.868115
72.428502703747 -0.868116
73.28522492117334 -0.882097
73.28533467092632 -0.882099
74.14240366715092 -0.895259
74.14251389759855 -0.89526
74.99997938718415 -0.907622
75.00009007391735 -0.907625
75.85767260679437 -0.919172
75.85778372508699 -0.919174
76.71473078660803 -0.929907
76.71484231128674 -0.929908
77.57159518095706 -0.939856
77.5717070869281 -0.939857
78.42832102494027 -0.949025
78.42845627330075 -0.949026
79.28522549521703 -0.95742
79.2853368746804 -0.957421
80.1423746350417 -0.965049
80.1424762446667 -0.96505
80.99999591781172 -0.971942
81.00008646227764 -0.971943
81.85762510889103 -0.978092
81.85773854498194 -0.978092
82.71477404498717 -0.983513
82.71488771117347 -0.983514
83.57161519438841 -0.988237
83.57171767822788 -0.988237
84.42837773026076 -0.992278
84.42849178019266 -0.992278
85.28522829188613 -0.995646
85.28533107514531 -0.995647
86.14238160592882 -0.998358
86.14248450450543 -0.998359
87.00000488868663 -1.00045
87.00009643608135 -1.00045
87.85761480061535 -1.00191
87.85773359550245 -1.00191
88.71476137276092 -1.00278
88.71487593531535 -1.00278
89.57162036505935 -1.00308
89.57171547321072 -1.00308
90.42837963494065 -1.00283
90.42848620190264 -1.00283
91.28523862723908 -1.00205
91.2853417335293 -1.00205
92.14238519938463 -1.00076
